chunk_size,retriever,embedder,top_k,recall_at_k,mrr,faithfulness
200,vector,all-MiniLM-L6-v2,3,1.0,0.95,
200,vector,all-MiniLM-L6-v2,5,1.0,0.95,
200,vector,all-MiniLM-L6-v2,10,1.0,0.95,
200,bm25,N/A (Lexical),3,1.0,1.0,0.8441
200,bm25,N/A (Lexical),5,1.0,1.0,0.9337
200,bm25,N/A (Lexical),10,1.0,1.0,0.9741
200,hybrid,all-MiniLM-L6-v2,3,1.0,1.0,
200,hybrid,all-MiniLM-L6-v2,5,1.0,1.0,
200,hybrid,all-MiniLM-L6-v2,10,1.0,1.0,
200,vector,BAAI/bge-small-en-v1.5,3,1.0,1.0,
200,vector,BAAI/bge-small-en-v1.5,5,1.0,1.0,
200,vector,BAAI/bge-small-en-v1.5,10,1.0,1.0,
200,hybrid,BAAI/bge-small-en-v1.5,3,1.0,1.0,
200,hybrid,BAAI/bge-small-en-v1.5,5,1.0,1.0,
200,hybrid,BAAI/bge-small-en-v1.5,10,1.0,1.0,
500,vector,all-MiniLM-L6-v2,3,1.0,1.0,
500,vector,all-MiniLM-L6-v2,5,1.0,1.0,
500,vector,all-MiniLM-L6-v2,10,1.0,1.0,
500,bm25,N/A (Lexical),3,1.0,1.0,
500,bm25,N/A (Lexical),5,1.0,1.0,
500,bm25,N/A (Lexical),10,1.0,1.0,
500,hybrid,all-MiniLM-L6-v2,3,1.0,1.0,
500,hybrid,all-MiniLM-L6-v2,5,1.0,1.0,
500,hybrid,all-MiniLM-L6-v2,10,1.0,1.0,
500,vector,BAAI/bge-small-en-v1.5,3,1.0,1.0,
500,vector,BAAI/bge-small-en-v1.5,5,1.0,1.0,
500,vector,BAAI/bge-small-en-v1.5,10,1.0,1.0,
500,hybrid,BAAI/bge-small-en-v1.5,3,1.0,1.0,
500,hybrid,BAAI/bge-small-en-v1.5,5,1.0,1.0,
500,hybrid,BAAI/bge-small-en-v1.5,10,1.0,1.0,
1000,vector,all-MiniLM-L6-v2,3,1.0,0.95,
1000,vector,all-MiniLM-L6-v2,5,1.0,0.95,
1000,vector,all-MiniLM-L6-v2,10,1.0,0.95,
1000,bm25,N/A (Lexical),3,1.0,1.0,
1000,bm25,N/A (Lexical),5,1.0,1.0,
1000,bm25,N/A (Lexical),10,1.0,1.0,
1000,hybrid,all-MiniLM-L6-v2,3,1.0,0.95,
1000,hybrid,all-MiniLM-L6-v2,5,1.0,0.95,
1000,hybrid,all-MiniLM-L6-v2,10,1.0,0.95,
1000,vector,BAAI/bge-small-en-v1.5,3,1.0,0.95,
1000,vector,BAAI/bge-small-en-v1.5,5,1.0,0.95,
1000,vector,BAAI/bge-small-en-v1.5,10,1.0,0.95,
1000,hybrid,BAAI/bge-small-en-v1.5,3,1.0,1.0,
1000,hybrid,BAAI/bge-small-en-v1.5,5,1.0,1.0,
1000,hybrid,BAAI/bge-small-en-v1.5,10,1.0,1.0,
